Brand,Name,Fuel Type,Date first produced,Power (kW),NOx Class ,NOx emissions (mg/kWh),Usage,Source,Notes,,,,,,,
Worcester Bosch,Greenstar 1000,NG,,30,,41,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-1001,Combi Boiler,,,,,,,
Worcester Bosch,Greenstar 8000 Style System,NG,,30,,23,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-8000-style-system,System Boiler,,,,,,,
Worcester Bosch,Greenstar 8000 Style System,LPG,,30,,23,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-8000-style-system,System Boiler,,,,,,,
Worcester Bosch,Greenstar 8000 Style System,NG,,34,,25,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-8000-style-system,System Boiler,,,,,,,
Worcester Bosch,Greenstar 8000 Style System,LPG,,34,,25,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-8000-style-system,System Boiler,,,,,,,
Worcester Bosch,Greenstar 8000 Life System,NG,,30,,23,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-8000-life-system,System Boiler,,,,,,,
Worcester Bosch,Greenstar 8000 Life System,LPG,,30,,41,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-8000-life-system,System Boiler,,,,,,,
Worcester Bosch,Greenstar 8000 Life System,NG,,34,,25,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-8000-life-system,System Boiler,,,,,,,
Worcester Bosch,Greenstar 8000 Life System,LPG,,34,,25,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-8000-life-system,System Boiler,,,,,,,
Worcester Bosch,Greenstar i System,NG,,27,,32,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-i-system-27kw-and-30kw,System Boiler,,,,,,,
Worcester Bosch,Greenstar i System,LPG,,27,,32,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-i-system-27kw-and-30kw,System Boiler,,,,,,,
Worcester Bosch,Greenstar i System,NG,,30,,32,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-i-system-27kw-and-30kw,System Boiler,,,,,,,
Worcester Bosch,Greenstar i System,LPG,,30,,32,Residential,https://www.worcester-bosch.co.uk/products/boilers/directory/greenstar-i-system-27kw-and-30kw,System Boiler,,,,,,,
