Gas,NFR/CRF Group,Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nitrogen oxides (NOx expressed as NO2),1A1b,Refineries - combustion,Refinery miscellaneous,kilotonne,0.887600131,1.608514728,1.720736686,1.813856782,1.856553601,0.922251013,1.487406789,-,-,-,0.389062338,0.850102863,0.256686788,-,-,-,-,-,-,-,-,-,-,1.383838546,-,1.223476066,-,-,-,-,-,-,-
Nitrogen oxides (NOx expressed as NO2),1A1b,Refineries - combustion,Naphtha,kilotonne,5.157532136,4.717140464,4.675759157,3.77066093,3.525944733,2.666661451,2.548617845,2.847084224,3.22192852,3.195303157,2.853523182,3.474001392,2.779155433,2.134339319,2.241197839,2.043459246,2.887524866,3.126296849,2.915398387,0.476802167,4.727245565,2.958622107,4.788858342,2.718858152,4.187901997,3.002616694,1.556556065,2.317891691,1.756717438,0.915868897,-,0.03924195,0.485824275
Nitrogen oxides (NOx expressed as NO2),1A1b,Refineries - combustion,Natural gas,kilotonne,0.046388095,0.042014211,0.292141827,0.308318234,0.249084543,0.285062273,0.32988183,0.321625831,0.437534368,0.462095328,0.574576181,0.790626824,0.793271191,0.642378042,0.653223232,0.953363458,1.467062973,1.626615929,1.172241692,1.362836458,1.13441688,1.473516158,1.15702515,1.208103158,1.273615339,1.13181922,1.516674598,1.292929735,1.328969437,1.375117937,1.537000183,1.758801805,1.448294584
Nitrogen oxides (NOx expressed as NO2),1A1b,Refineries - combustion,OPG,kilotonne,8.660265584,7.453932711,7.370137656,6.569641759,6.504004259,6.265231793,6.327540753,5.544583742,5.953265693,5.509714233,5.159541762,4.923862359,4.775822628,3.593591237,4.60861463,4.335144686,6.665462459,6.428144321,8.424105003,9.569117702,6.464399331,6.957761227,4.43527623,4.499757821,3.852066427,3.66461108,5.4062543,5.034465498,4.872999414,5.133878148,5.199867133,5.394749871,5.251852763
Nitrogen oxides (NOx expressed as NO2),1A1b,Refineries - combustion,Petroleum coke,kilotonne,6.86551073,7.336811159,7.364948498,7.526738197,6.668549356,8.068381974,7.857351931,8.321618026,8.377892704,8.195,8.07,7.883,11.705,8.155,10.391,11.213,9.410193622,9.655662314,8.858421628,8.35336917,7.378882226,8.207028113,8.41589526,6.312455657,5.558808769,5.597733316,6.491152628,6.185365578,5.512218422,4.924748212,4.059067939,3.808529459,3.522063743
Nitrogen oxides (NOx expressed as NO2),1A1b,Refineries - combustion,Petrol,kilotonne,-,-,-,-,-,-,0.059796526,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nitrogen oxides (NOx expressed as NO2),1A1c,Coke production,Blast furnace gas,kilotonne,0.308307384,0.279032688,0.259252488,0.25846128,0.275340384,0.281670048,0.295911792,0.299867832,0.28615356,0.285626088,0.278768952,0.171164664,0.134381404,0.113933952,0.078329592,0.075106738,0.141470628,0.185293002,0.16842181,0.133418768,0.192980906,0.173364222,0.177148834,0.198147494,0.187516296,0.169125985,0.166765548,0.150068421,0.159346654,0.147871878,0.141013881,0.140594024,0.117990716
Nitrogen oxides (NOx expressed as NO2),1A1c,Coke production,Coke oven gas,kilotonne,5.538957226,5.056589893,4.39378411,3.945922935,7.415770398,7.024644615,6.829577049,7.18526489,7.717083044,7.323467605,7.1454628,8.255934249,5.244175676,5.325232884,5.484596708,4.277001362,5.099752032,6.346744983,5.664069187,5.004320732,5.153058761,4.64143975,3.782096818,5.220949997,5.063174555,3.701735906,2.270028286,2.304803277,2.138853455,2.129550184,2.218515186,2.06583173,2.005019316
Nitrogen oxides (NOx expressed as NO2),1A1c,Coke production,Colliery methane,kilotonne,0.00695304,0.00695304,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nitrogen oxides (NOx expressed as NO2),1A1c,Coke production,Natural gas,kilotonne,0.003055736,0.002824432,0.003126319,0.003501486,0.004569218,0.002645337,0.005531159,0.003607278,0.001683396,0.003126307,0.004088248,0.002164367,-,0.000240485,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nitrogen oxides (NOx expressed as NO2),1A1c,Collieries - combustion,Coal,kilotonne,0.5505552,0.5154016,0.364840565,0.22167528,0.10196274,0.03707736,0.0368144,0.03655144,0.0243238,0.04815455,0.058365754,0.04897826,0.043936357,0.029658651,0.039254202,0.028165829,0.018559797,0.022565708,0.025780339,0.023369601,0.023656626,0.018009508,0.018247729,0.012387492,0.002906296,-,-,-,-,-,-,-,-
Nitrogen oxides (NOx expressed as NO2),1A1c,Collieries - combustion,Colliery methane,kilotonne,0.16159824,0.12659328,0.12803184,0.13882104,0.16711272,0.09758232,0.08775216,0.07864128,0.07048944,0.07936056,0.08823168,0.14985,0.14433552,0.2013984,0.1786212,0.16831152,0.16951032,0.16231752,0.169385645,0.165590244,0.19276704,0.157026017,0.122649228,0.10021968,0.09062928,0.08223768,0.10405584,0.094918586,0.09134856,0.084568147,0.06791202,0.071333395,0.073414512
Nitrogen oxides (NOx expressed as NO2),1A1c,Collieries - combustion,Natural gas,kilotonne,0.08128399,0.151505661,0.250585554,0.099801348,0.063969057,0.088498545,0.082726901,0.046413639,0.016112507,0.003366792,0.001442911,0.000961941,-,-,-,-,-,-,0.02044122,0.018757871,0.017796214,0.014711665,0.023147132,0.014425376,0.024023973,0.019010017,0.018553649,0.018361351,0.019002501,0.019335882,0.016328844,0.014434559,0.0146913
Nitrogen oxides (NOx expressed as NO2),1A1c,Gas production,Colliery methane,kilotonne,0.02109888,0.01414584,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nitrogen oxides (NOx expressed as NO2),1A1c,Gas production,LPG,kilotonne,0.125338194,0.142505617,0.137034197,0.142008215,0.160909483,0.145987429,0.162958836,0.152938889,0.156554726,0.156554726,0.134398829,-,-,6.80E-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nitrogen oxides (NOx expressed as NO2),1A1c,Gas production,Natural gas,kilotonne,0.786902444,0.985275853,0.926035174,0.936644685,0.955783154,1.073642712,1.461142763,1.350122095,1.746390988,2.193357951,2.380967035,2.500881484,2.493205195,2.652252164,2.101244562,2.300497878,2.098334623,3.241404463,2.637042611,2.335499308,3.442493776,3.004216585,2.234233183,3.025686295,3.003378767,2.452968354,1.863772209,1.830640964,1.505292745,1.942389486,1.993134951,1.760001869,1.924445517
Nitrogen oxides (NOx expressed as NO2),1A1c,Nuclear fuel production,Natural gas,kilotonne,0.101484745,0.119280648,0.12216647,0.135874125,0.132266847,0.112306577,0.210184044,0.221967818,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
